"nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internfour","survey_internone","survey_internships","survey_internthree","survey_interntwo","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state"
1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","Lincolnshire","ALIGHT SOLUTIONS","Human Resources",NA,NA,NA,"VillageMD","2",NA,"VillageMD","1","accepted fulltime job","No","Yes",53000,"IL"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Charlotte","VANGUARD","Finance",NA,NA,"Textron Systems","Wealth Advocate Group","4","WealthPlan Partners","John D. Brown, CPA, Inc.","1","accepted fulltime job","Yes","Yes",56000,"NC"
1,"Finance","none",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Business Analytics","Business Analytics","White","Male","3.00 - 3.49",201920,"2019","0","Buffalo","M&T BANK",NA,NA,NA,NA,"M&T Bank","1",NA,NA,"1","accepted fulltime job","Yes",NA,55000,"NY"
1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202110,"2021","0","Columbus","KPMG","Consulting",NA,NA,NA,"Timeless Frames","3","Fifth Third Bank","Platinum Financial Services","2","accepted fulltime job","Yes","Yes",60000,"OH"
1,"Marketing","none",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"No Minor","No Minor","White","Female","3.50 - 4.00",202120,"2021","Magna Cum Laude","Atlanta","THE HOME DEPOT",NA,NA,NA,"The Boston Consulting Group",NA,"2","2",NA,"2","accepted fulltime job","Yes","Yes",65000,"GA"
1,"Finance","none",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Humanities","Humanities","White","Female","2.50 - 2.99",202110,"2021","0","Covington","FIDELITY INVESTMENTS",NA,NA,NA,NA,"Fifth Third Bank","3","Timeless Frames","Platinum Financial Services",NA,"accepted fulltime job",NA,NA,45000,"KY"
1,"Accountancy","none",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",202120,"2021","0","Dallas","RSM","Accounting",NA,NA,NA,"RSM","1",NA,NA,"1","accepted fulltime job","Yes","Yes",59000,"TX"
1,"Accountancy","none",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Marketing","No Minor","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","Cleveland","EY","Accounting",NA,NA,NA,"Ernst and Young, Assurance Intern","1",NA,NA,"1","accepted fulltime job","Yes","Yes",51000,"OH, USA"
1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","2.50 - 2.99",201920,"2019","0","Chicago","THE CHAMBERLAIN GROUP","Marketing / Sales",NA,NA,NA,"Vanity Fair","2",NA,"Chamberlain Group","3","accepted fulltime job","Yes","Yes",54000,"Illinois"
1,"Marketing","none",1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",201920,"2019","0","Columbus","ABERCROMBIE & FITCH","Marketing / Sales",NA,NA,NA,"Marketing Intern, Simposi","1",NA,NA,"1","accepted fulltime job","Yes","No",62500,"OH"
1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Business Analytics","Interactive Media Studies","White","Female","3.00 - 3.49",201920,"2019","0","Chicago","CVS HEALTH","Accounting
 Finance",NA,NA,NA,"Cheryl's Cookies","2",NA,"Henkel","2","accepted fulltime job","Yes","Yes",54000,"IL"
1,"Business Economics","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0",NA,"JOHN DEERE",NA,NA,NA,NA,"IT Intern, Holmes Murphy","2",NA,"College Financial Advisor, Northwestern Mutual","0","accepted fulltime job",NA,NA,61969.0476190476,NA
1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202020,"2020","0",NA,"KEYBANC CAPITAL MARKETS",NA,NA,NA,NA,"KeyBanc Capital Markets","3","12 Doors Down","Cardinal Financial Advisers LLC",NA,"accepted fulltime job",NA,NA,75000,NA
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Engineering/Science","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Chicago","CIBC",NA,NA,NA,NA,NA,"1",NA,NA,"2","accepted fulltime job","Yes","Yes",60000,"IL"
1,"Supply Chain & Operations Mgmt","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",202120,"2021","0","Las Vegas","CINTAS",NA,NA,NA,NA,"Honda","2",NA,"Bank Mizrahi","2","accepted fulltime job","Yes","Yes",50000,"NV"
1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accountancy","No Minor","White","Female","3.00 - 3.49",202020,"2020","0","Indianapolis","CUMMINS, INC.","Finance",NA,NA,NA,"Cummins, Inc.","1",NA,NA,"1","accepted fulltime job","Yes","Yes",60000,"IN"
2,"Business Economics","Marketing",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,"Language","Language","White","Female","3.50 - 4.00",201920,"2019","Magna Cum Laude","Cleveland","INSIGHT2PROFIT","Analytics
 Consulting",NA,NA,NA,NA,"0",NA,NA,"1","accepted fulltime job","Yes","Yes",58000,"OH"
1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","American Indian or Alaska Native","Female","3.00 - 3.49",201920,"2019","0","Chicago","COYOTE LOGISTICS","Marketing / Sales",NA,NA,NA,"TimkenSteel","1",NA,NA,"1","accepted fulltime job","Yes","Yes",40000,"Illinois"
